City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,rongelap,11.1635,166.8941,300.17,81,15,9.01,MH,1682564636
279,newman,37.3138,-121.0208,299.14,58,12,1.85,US,1682564638
280,hengchun,22.0042,120.7439,298.74,69,55,7.29,TW,1682564535
281,kapuskasing,49.4169,-82.4331,274.15,93,100,2.57,CA,1682564640
282,rabo de peixe,37.8,-25.5833,289.88,100,40,6.69,PT,1682564641
283,cambria,35.5641,-121.0808,296.56,87,22,1.89,US,1682564644
284,kronenwetter,44.8222,-89.5904,280.13,57,0,4.63,US,1682564646
285,galle,6.0367,80.217,300.76,79,100,2.54,LK,1682564648
286,acarau,-2.8856,-40.12,298.66,86,100,2.65,BR,1682564650
287,laguna,38.421,-121.4238,299.14,49,0,3.09,US,1682564653
288,ust'-kalmanka,52.1207,83.305,286.12,64,100,3.67,RU,1682564655
289,lompoc,34.6391,-120.4579,290.25,94,100,2.06,US,1682564657
290,cill airne,52.05,-9.5167,282.58,97,100,2.09,IE,1682564659
291,tamiahua,21.2667,-97.45,297.99,95,100,4.27,MX,1682564553
292,qamdo,31.1667,97.2333,277.02,37,66,2.49,CN,1682564563
293,al bardiyah,31.7561,25.0865,290.48,71,2,5.84,LY,1682564666
294,at taj,24.2049,23.2857,294.45,22,0,4.35,LY,1682564668
295,coquimbo,-29.9533,-71.3436,287.0,100,100,1.03,CL,1682564397
296,dubbo,-32.25,148.6167,298.22,31,40,5.66,AU,1682564674
297,ulysses,37.5814,-101.3552,280.31,93,0,4.12,US,1682564676
298,mandan,46.8267,-100.8896,284.79,40,0,2.06,US,1682564677
299,pandan,14.0453,124.1694,301.01,80,45,4.65,PH,1682564678
300,batang,-6.4846,110.7083,302.44,71,100,1.14,ID,1682564680
301,borovskoy,53.8,64.15,289.64,41,100,6.68,KZ,1682564681
302,zouerate,22.7187,-12.4521,300.68,27,3,4.36,MR,1682564682
303,new martinsville,39.6445,-80.8576,282.1,84,50,2.13,US,1682564683
304,scottburgh,-30.2867,30.7532,292.9,78,7,3.1,ZA,1682564684
305,orlovskiy,46.8714,42.0592,284.65,73,100,4.16,RU,1682564686
306,hami,42.8,93.45,289.91,21,46,11.09,CN,1682564687
307,boa vista,2.8197,-60.6733,296.14,100,40,0.51,BR,1682564632
308,abha,18.2164,42.5053,285.05,87,0,0.0,SA,1682564689
309,sola,-13.8833,167.55,300.6,71,10,1.68,VU,1682564690
310,mugia,43.1041,-9.2179,286.99,90,99,2.77,ES,1682564692
311,lipetsk,52.6031,39.5708,283.14,76,72,2.57,RU,1682564693
312,malango,-2.9627,119.9001,300.12,74,71,0.91,ID,1682564694
313,kalianget,-7.05,113.9333,302.26,73,37,2.19,ID,1682564695
314,porto ferreira,-21.8539,-47.4792,290.4,95,3,1.12,BR,1682564696
315,fortuna foothills,32.6578,-114.4119,302.71,12,0,0.0,US,1682564698
316,petropavlovsk-kamchatsky,53.0452,158.6483,280.48,39,0,5.0,RU,1682564699
317,oranjemund,-28.55,16.4333,285.89,88,82,0.37,NA,1682564700
318,salta,-24.7859,-65.4117,287.91,88,20,3.09,AR,1682564473
319,kingston,17.997,-76.7936,300.68,87,20,4.12,JM,1682564704
320,bakhmach,51.1808,32.7569,284.03,90,100,2.55,UA,1682564707
321,binka,21.0333,83.8,306.6,29,84,2.36,IN,1682564709
322,cestos city,5.46,-9.5828,298.5,85,100,0.8,LR,1682564712
323,ponta delgada,37.7333,-25.6667,290.55,100,40,6.69,PT,1682564439
324,okha,53.5739,142.9478,273.19,99,100,9.05,RU,1682564715
325,puerto aysen,-45.4,-72.7,279.2,96,100,1.86,CL,1682564595
326,san ignacio,17.1561,-89.0714,302.23,70,0,3.09,BZ,1682564719
327,floro,61.5996,5.0328,277.13,75,75,5.66,NO,1682564721
328,kristiansund,63.1115,7.732,276.18,87,100,4.12,NO,1682564723
329,lamesa,32.7376,-101.951,286.22,58,0,8.91,US,1682564725
330,saldanha,-33.0117,17.9442,286.18,83,33,4.69,ZA,1682564556
331,whitehorse,60.7161,-135.0538,279.27,40,75,6.17,CA,1682564726
332,ilebo,-4.3167,20.5833,293.45,99,100,0.82,CD,1682564543
333,sovetskiy,61.3614,63.5842,281.22,94,100,0.8,RU,1682564733
334,puerto baquerizo moreno,-0.9,-89.6,298.97,78,7,3.85,EC,1682564568
335,bengkulu,-3.8004,102.2655,299.1,83,100,0.97,ID,1682564737
336,yarmouth,41.7057,-70.2286,281.46,89,0,1.79,US,1682564738
337,timimoun,29.2639,0.231,298.93,16,0,3.88,DZ,1682564739
338,zakamensk,50.3741,103.2863,271.1,58,100,4.32,RU,1682564740
339,forster,-32.1667,152.5167,296.01,64,93,0.89,AU,1682564742
340,kone,-21.0595,164.8658,300.65,65,76,2.48,NC,1682564744
341,thunder bay,48.4001,-89.3168,277.14,48,100,9.26,CA,1682564745
342,castillos,-34.1667,-53.8333,289.98,90,88,3.83,UY,1682564746
343,harper,4.375,-7.7169,299.07,87,100,4.75,LR,1682564747
344,liwale,-9.7667,37.9333,290.77,93,24,2.09,TZ,1682564748
345,nantucket,41.2835,-70.0995,280.18,82,100,2.06,US,1682564682
346,mount isa,-20.7333,139.5,303.02,30,90,3.6,AU,1682564481
347,iskateley,67.6803,53.1512,270.09,91,78,7.05,RU,1682564752
348,natal,-5.795,-35.2094,298.51,88,40,4.63,BR,1682564753
349,sesheke,-17.4759,24.2968,289.39,50,52,2.27,ZM,1682564754
350,milledgeville,33.0801,-83.2321,288.53,87,100,2.06,US,1682564665
351,tazacorte,28.629,-17.9293,291.69,74,0,2.06,ES,1682564550
352,vilyuchinsk,52.9306,158.4028,281.3,65,7,2.81,RU,1682564758
353,aasiaat,68.7098,-52.8699,271.5,86,100,1.74,GL,1682564675
354,cintruenigo,42.0777,-1.8088,287.78,86,100,0.97,ES,1682564760
355,fale old settlement,-9.3852,-171.2468,301.49,75,100,4.52,TK,1682564764
356,nuuk,64.1835,-51.7216,272.49,100,100,5.81,GL,1682564514
357,kalmunai,7.4167,81.8167,302.32,73,87,2.97,LK,1682564768
358,nar'yan-mar,67.6713,53.087,270.19,91,74,6.97,RU,1682564770
359,east london,-33.0153,27.9116,296.19,45,42,3.56,ZA,1682564772
360,shache,38.4167,77.2406,290.97,32,100,4.24,CN,1682564774
361,dudinka,69.4058,86.1778,268.13,93,100,2.3,RU,1682564776
362,san luis de la loma,17.2706,-100.8939,298.75,73,87,2.94,MX,1682564778
